id,gender,race,rank,age,career_length,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,allegation_count,sustained_count,civilian_compliment_count,discipline_count,honorable_mention_count,major_award_count,trr_count,unsustained_count,number_of_awards,salary
25765,M,White,Police Officer,44,21,84.7235,86.3763,78.8337,61.1521,19,0,9,0,26,0,5,5,61,90024
2676,M,White,Police Officer,47,22,96.1637,96.4820,80.0498,88.3297,37,1,12,0,30,0,17,18,55,90024
2597,M,Black,Police Officer as Detective,62,30,83.4581,38.7792,31.6915,71.3081,27,3,1,2,1,0,0,16,10,99888
13881,M,Black,Police Officer,54,26,88.6248,87.5224,61.9907,79.9133,28,2,1,2,9,0,4,11,14,92430
8866,M,White,Police Officer,63,33,68.9734,44.7266,74.8789,0.0000,19,0,5,0,24,0,0,14,43,92316
13743,M,Black,Police Officer,53,27,98.1430,98.4652,66.6753,79.9133,58,2,6,2,13,0,15,31,32,93354
17397,M,White,Police Officer,56,26,99.7134,99.1778,78.7754,0.0000,92,1,2,1,34,0,8,55,56,93354
20586,M,White,Police Officer as Detective,62,38,86.9187,46.3550,52.7287,0.0000,33,2,1,1,5,0,0,20,14,93192
7838,F,White,Police Officer as Detective,69,34,72.3433,55.0249,0.0000,75.4987,20,3,0,1,0,0,0,11,6,92268
24562,M,Hispanic,Captain of Police,54,30,81.6400,65.6966,67.6295,79.9133,27,3,2,3,16,1,6,13,43,136170
32323,M,Black,Police Officer,55,25,81.9877,81.8766,74.9782,79.9133,22,2,1,2,24,0,2,10,43,93354
5456,M,White,Police Officer / Field Training Officer,48,24,93.4011,93.5220,90.7947,79.9133,34,1,9,0,74,1,23,22,100,98052
32074,M,Black,Detective,66,34,93.0228,57.7487,74.3701,0.0000,46,1,11,1,31,1,3,37,64,102900
2659,M,Black,Police Officer,50,29,97.1115,96.8231,54.4883,99.0127,46,2,6,2,5,0,1,28,12,73116
27620,M,Black,Police Officer / Marine Officer,53,30,93.9208,83.7403,54.4102,98.7592,50,12,9,11,7,0,3,23,25,100980
3563,M,Hispanic,Police Officer,42,14,96.3204,96.7062,99.3078,0.0000,20,0,4,0,116,1,28,3,147,87006
31216,M,Black,Police Officer,59,23,88.2618,90.4873,71.1227,0.0000,24,0,5,0,15,0,0,13,30,87384
26796,F,White,Police Officer,52,26,79.2289,74.8804,85.4287,61.1521,21,0,9,0,53,0,5,9,68,93354
31565,M,Hispanic,Police Officer,49,16,95.1893,95.7395,94.5532,0.0000,22,0,5,1,63,0,22,9,80,87006
5915,M,White,Sergeant of Police,73,43,83.7520,87.2042,66.0016,0.0000,25,0,3,0,10,0,2,16,15,93276
18082,M,White,Police Officer,68,33,93.8615,86.8297,91.1655,0.0000,47,1,4,0,94,1,8,24,115,86130
27116,M,Hispanic,Police Officer,36,13,97.0081,97.3141,91.8912,0.0000,19,0,3,0,37,0,13,3,53,84054
26121,M,Black,Police Officer as Detective,58,34,76.7504,54.7593,0.0000,87.4783,23,4,1,3,0,0,3,14,6,92268
16843,M,Black,Police Officer as Detective,54,25,82.4424,81.8766,69.9744,79.9133,21,2,4,1,15,0,5,9,40,100980
6102,M,Black,Police Officer as Detective,63,38,91.9370,41.5727,0.0000,95.5351,37,5,1,5,0,0,0,25,1,84402
20408,M,White,Police Officer as Detective,49,25,87.5511,79.7738,73.2413,61.1521,26,1,2,1,20,0,11,13,35,100980
32245,M,White,Police Officer,44,15,97.3176,97.1846,98.0302,77.2673,26,1,2,1,93,0,21,5,114,87006
17840,M,Black,Police Officer,71,39,77.6430,59.8754,62.4710,0.0000,22,1,2,1,4,0,0,12,8,78006
32288,F,White,Police Officer,46,19,94.4672,94.0951,97.0857,85.6488,27,1,6,1,105,0,19,6,135,90024
7214,M,Black,Sergeant of Police,64,34,74.0979,68.3290,0.0000,81.1851,19,2,0,2,3,0,0,11,3,90348
22666,M,Black,Police Officer,63,21,86.9474,86.3763,56.1051,79.9133,20,2,5,1,5,0,9,12,14,90024
20034,M,White,Lieutenant of Police,41,19,96.1561,96.6215,94.5467,0.0000,30,0,4,0,78,0,14,6,119,117894
13459,M,Black,Police Officer,61,35,78.3413,62.9673,45.0569,73.3421,24,6,2,6,2,1,0,13,12,86130
15709,M,Hispanic,Police Officer,55,25,83.6384,79.7738,94.4982,61.1521,23,1,6,0,106,1,18,6,138,93354
26907,M,White,Police Officer,51,27,88.4223,91.4192,76.0003,79.9133,29,0,4,0,27,0,3,15,47,93354
21188,F,Black,Sergeant of Police,54,29,72.2785,57.7487,46.2690,61.1521,19,0,5,0,4,0,0,11,14,111474
20092,M,Black,Police Officer as Detective,60,38,79.0379,72.3141,0.0000,93.0935,27,8,2,6,0,0,2,15,5,93192
10965,M,Hispanic,Lieutenant of Police,63,38,66.1075,41.5139,45.0949,93.0935,19,7,7,7,5,0,0,5,27,127278
3126,M,Black,Police Officer,52,26,99.7036,98.5671,0.0000,0.0000,54,3,3,3,9,1,0,41,14,58572
1658,M,White,Sergeant of Police,56,34,84.1962,77.6460,65.7826,97.0251,34,5,3,2,16,0,7,10,38,111474
3821,M,Hispanic,Police Officer,64,29,90.8219,90.4873,70.8122,0.0000,36,3,5,3,19,1,1,18,34,96060
32273,F,White,Police Officer,44,21,84.7235,86.3763,84.3840,61.1521,19,1,2,1,40,1,2,9,69,90024
20038,M,White,Police Officer,48,21,97.1954,97.2095,93.9483,61.1521,39,1,8,1,83,0,49,9,111,90024
1849,M,White,Police Officer,39,14,96.3204,95.6448,99.1720,91.6783,20,0,2,0,110,0,15,2,134,86142
1149,M,White,Police Officer,59,29,91.1925,79.7738,49.6070,0.0000,37,0,1,0,5,1,4,26,20,96060
24488,F,White,Police Officer,68,35,77.3361,56.4903,30.6241,0.0000,25,0,1,0,2,0,0,16,5,74328
7437,M,Native American/Alaskan Native,Police Officer,49,19,95.5561,95.6946,91.3931,72.6530,29,0,3,0,58,0,11,9,69,90024
21799,M,White,Sergeant of Police,51,26,79.3359,81.8766,63.2565,61.1521,20,0,8,0,10,1,1,9,27,107988
31912,M,White,Lieutenant of Police,50,26,97.2374,95.0419,90.1608,0.0000,49,3,12,3,77,2,7,29,144,121464
