,officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity,compound,neg,neu,pos
4998,7235,1.5,22.33333333333333,47.33333333333334,1,44.5036,0.0,3,6.19,8.22,,,,
5000,7237,1.25,11.0,44.0,1,27.5267,0.0,3,8.775,9.6,,,,
5002,7239,1.6666666666666667,6.333333333333332,35.333333333333336,1,35.9318,0.0,2,13.306666666666665,23.21,,,,
5003,7240,3.8333333333333326,6.0,39.0,1,64.0977,0.0,2,10.31,13.42,,,,
5005,7242,4.6875,9.03125,37.03125,1,93.7985,0.0,1,9.724375,17.67,,,,
5008,7246,1.625,19.0,47.0,1,75.569,0.125,3,5.95125,16.59,,,,
5009,7247,2.2857142857142856,10.714285714285714,45.714285714285715,0,38.4181,0.0,3,4.795714285714285,9.6,,,,
5010,7248,4.4,6.7,45.7,1,76.0307,0.0,2,8.946,16.59,,,,
5011,7250,1.8,3.0,39.0,0,69.0,0.0,3,8.27,16.59,,,,
5013,7252,2.111111111111111,6.111111111111112,43.111111111111114,1,63.2456,0.11111111111111112,2,6.926666666666667,16.59,,,,
5015,7255,2.75,4.5,41.5,1,37.469,0.0,2,14.32,17.67,,,,
5021,7263,5.5,21.5,61.5,0,25.0833,0.0,3,12.945,17.67,,,,
5022,7264,2.85,6.55,36.55,1,81.5521,0.0,2,8.399,16.59,,,,
5025,7267,2.833333333333333,8.833333333333334,47.83333333333334,0,35.9289,0.0,2,10.615,16.59,,,,
5026,7269,6.0,19.0,44.0,1,15.164000000000001,0.0,3,9.6,9.6,,,,
5028,7271,4.923076923076923,5.538461538461538,30.538461538461537,1,81.5177,0.07692307692307693,1,10.273076923076925,16.59,,,,
5029,7272,5.5,4.7,27.7,1,75.4843,0.1,1,7.955,13.42,,,,
5030,7273,6.0,4.909090909090909,30.90909090909091,1,84.7427,0.0,2,8.103636363636364,16.59,,,,
5031,7279,4.666666666666666,7.333333333333332,32.333333333333336,1,38.6573,0.0,2,7.046666666666666,16.59,,,,
5036,7291,4.428571428571429,4.285714285714286,33.285714285714285,1,71.1169,0.14285714285714285,2,8.765714285714285,42.38,,,,
5040,7298,1.0,26.0,49.0,1,17.9406,0.0,3,7.21,7.21,,,,
5043,7305,1.0,31.0,55.0,1,45.2293,0.0,3,8.22,8.22,,,,
5046,7311,3.0,6.7727272727272725,32.77272727272727,0,93.4828,0.0,2,8.866363636363635,16.59,,,,
5048,7314,3.0,3.0,35.0,0,25.7461,0.0,3,0.77,0.77,,,,
5050,7316,1.0,6.0,28.0,0,53.8689,1.0,3,6.3,6.3,,,,
5052,7318,1.1666666666666667,6.166666666666668,42.16666666666666,1,53.2956,0.0,3,8.431666666666665,15.0,,,,
5053,7319,1.6296296296296295,10.0,51.0,1,90.8066,0.03703703703703704,2,8.359629629629628,20.52,,,,
5056,7322,3.8181818181818175,6.8181818181818175,40.81818181818182,1,74.7927,0.0,2,8.078181818181818,16.59,,,,
5057,7323,2.0952380952380953,6.857142857142858,38.857142857142854,1,84.7006,0.09523809523809523,3,6.81952380952381,14.73,,,,
5059,7326,2.0,6.75,38.75,1,54.4687,0.125,3,6.76375,16.59,,,,
5061,7329,3.166666666666667,3.5,30.5,0,69.0344,0.0,2,7.57,13.42,,,,
5062,7330,7.6,1.4,28.4,0,74.8271,0.2,2,8.93,13.42,,,,
5063,7331,2.0,33.0,62.0,1,53.7844,1.0,3,8.22,8.22,,,,
5064,7333,2.0,6.333333333333332,33.333333333333336,0,58.0834,0.0,2,4.305,9.56,,,,
5065,7335,2.0,50.0,76.0,1,0.0,0.0,3,14.73,14.73,,,,
5068,7341,1.0,24.0,50.0,1,0.0,1.0,3,7.08,7.08,,,,
5069,7342,3.0,0.5,29.5,0,31.8406,0.0,3,5.165,9.56,,,,
5071,7345,2.0,25.5,47.5,1,40.7283,0.0,2,3.535,6.3,,,,
5072,7346,6.0,22.0,49.0,0,20.2991,0.0,3,9.6,9.6,,,,
5074,7349,1.8571428571428568,5.428571428571429,56.42857142857143,0,60.0807,0.2857142857142857,3,5.638571428571429,9.6,,,,
5075,7353,1.0,28.0,54.0,1,15.503,0.0,3,7.66,7.66,,,,
5078,7358,1.3333333333333333,11.333333333333336,47.33333333333334,0,26.9261,0.0,3,6.94,8.22,,,,
5081,7361,2.4,5.4,27.4,1,42.4974,0.0,3,4.774,8.22,,,,
5084,7364,5.0,8.666666666666666,40.66666666666666,1,29.6741,0.0,2,14.26,16.59,,,,
5085,7365,4.0,24.0,49.0,1,31.7373,0.0,3,0.77,0.77,,,,
5087,7367,4.571428571428571,9.714285714285714,51.714285714285715,1,47.4227,0.0,2,5.737142857142857,9.6,,,,
5089,7371,2.090909090909091,5.181818181818182,43.18181818181818,1,83.1646,0.0,2,9.540909090909091,16.59,,,,
5090,7372,1.0,13.0,37.0,1,35.6964,0.0,3,8.22,8.22,,,,
5095,7379,4.666666666666666,8.666666666666666,31.66666666666667,1,33.8199,0.0,3,6.043333333333333,16.59,,,,
5097,7384,9.0,13.0,35.0,1,0.0,0.0,3,13.42,13.42,,,,
5099,7387,5.0,2.0,32.0,1,94.8416,0.0,2,8.355,9.6,,,,
5101,7389,2.0,2.0,35.0,1,42.8222,0.0,3,9.6,9.6,,,,
5102,7390,3.9615384615384617,5.230769230769232,39.230769230769226,1,88.7242,0.038461538461538464,2,9.4,17.67,,,,
