officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
20209,F,Black,1999-08-02,Police Officer,Yes,1975,53.0197,10,61.1521,2,7,1,1,1374,1,0,4
20215,F,White,1996-11-04,Sergeant of Police,Yes,1964,65.6966,7,0.0000,0,11,0,3,810,0,0,0
20216,M,White,2000-01-24,Police Officer,No,1977,79.8161,9,0.0000,1,8,0,0,4715,0,0,3
20218,M,White,2002-07-29,Police Officer,Yes,1963,97.7825,44,0.0000,10,33,0,3,9560,0,0,6
20219,M,White,1982-03-01,Police Officer,No,1951,40.7477,5,0.0000,1,7,1,2,15136,1,0,5
20220,M,White,1995-06-05,Police Officer,Yes,1969,96.4820,36,88.3297,25,47,4,11,8892,3,0,26
20221,M,White,2000-08-14,Police Officer,No,1975,41.6246,3,0.0000,3,1,0,0,4039,0,0,0
20224,F,Black,2006-10-30,Police Officer,Yes,1980,82.9181,62,0.0000,18,10,0,10,16972,0,0,1
20227,M,White,2008-04-28,Police Officer,Yes,1982,43.8609,17,0.0000,4,2,0,6,4127,0,0,0
20230,M,Black,1982-07-19,Police Officer,No,1956,0.0000,1,93.5676,0,11,5,3,,3,0,5
20231,M,White,1986-09-08,Police Officer,No,1962,35.6089,0,79.9133,0,11,1,4,12029,1,0,2
20234,M,White,1987-12-07,Police Officer,No,1953,34.2811,6,0.0000,1,14,0,1,5865,0,0,11
20236,M,White,2005-09-26,Police Officer,Yes,1979,67.3012,39,90.4525,0,9,1,9,4624,1,0,1
20237,M,Black,2010-04-16,Police Officer,Yes,1982,0.0000,16,0.0000,6,1,0,2,20594,0,0,0
20238,F,Black,2005-01-03,Police Officer,Yes,1978,64.9890,15,0.0000,4,6,0,1,10970,0,0,3
20241,F,Black,1987-04-13,Police Officer,No,1953,26.6811,2,0.0000,0,1,1,1,,1,0,0
20242,M,Black,2001-06-25,Police Officer,Yes,1968,68.9157,39,0.0000,8,9,1,1,8049,1,0,0
20246,M,White,1988-05-02,Police Officer,No,1954,69.3189,2,72.4023,2,29,1,2,3337,1,0,16
20248,M,White,1998-12-14,Police Officer,No,1965,98.0594,1,98.9616,1,29,8,0,11423,3,0,11
20249,M,White,1992-12-07,Lieutenant of Police,Yes,1967,61.9992,6,79.9133,2,13,0,3,719,0,0,6
20250,M,Black,1986-02-03,Police Officer as Detective,No,1958,29.7987,2,0.0000,0,40,0,1,,0,1,30
20252,M,Asian/Pacific,1997-03-17,Police Officer,Yes,1964,41.5139,15,0.0000,3,6,0,3,19261,0,0,1
20254,M,Black,1990-03-26,Police Officer,No,1964,43.2079,10,0.0000,0,29,1,0,,1,0,16
20259,M,White,2007-04-02,Police Officer,Yes,1977,51.1461,84,79.1260,17,4,1,6,11775,0,0,0
20261,M,White,1968-06-24,Police Forensic Investigator I,No,1944,,1,,0,3,1,0,,1,0,0
20263,M,White,2013-05-01,Police Officer,Yes,1976,83.3317,5,0.0000,2,4,0,0,19420,0,0,0
20264,M,Hispanic,2006-05-22,Police Officer / Field Training Officer,Yes,1977,56.5378,35,78.0945,3,5,1,5,11505,1,0,1
20267,M,Hispanic,1991-03-27,Sergeant of Police,Yes,1967,41.5139,6,0.0000,0,4,0,9,1350,0,0,0
20268,M,Hispanic,1994-09-06,Police Officer,Yes,1963,24.1180,0,0.0000,0,10,0,1,10084,0,0,5
20271,M,Hispanic,1986-06-16,First Deputy Superintendent,Yes,1965,69.1001,21,0.0000,2,20,2,15,45,2,0,8
20273,M,Hispanic,2007-09-24,Police Officer,Yes,1980,93.8559,83,79.5894,16,15,0,3,6059,0,2,3
20274,M,Hispanic,1999-03-08,Police Officer,Yes,1974,53.0197,66,0.0000,4,7,0,8,6668,0,0,1
20275,M,Hispanic,2005-10-31,Police Officer,Yes,1974,46.4321,59,0.0000,12,5,1,4,16078,0,0,1
20276,M,Hispanic,2000-12-18,Police Officer,Yes,1969,81.6922,17,0.0000,7,15,1,3,19113,1,0,5
20278,M,Hispanic,2002-12-02,Police Officer,Yes,1977,47.1497,35,0.0000,0,4,0,3,7390,0,0,0
20279,M,White,1973-03-19,Police Officer,No,1943,43.4723,0,0.0000,0,7,0,0,,0,0,5
20280,M,White,2005-01-03,Police Officer,No,1980,43.9051,7,0.0000,1,1,0,0,16571,0,0,0
20282,M,Asian/Pacific,1999-11-29,Police Officer,No,1963,,2,,0,1,1,1,,1,0,0
20283,F,Hispanic,2002-09-30,Police Officer,Yes,1973,46.9454,21,73.4652,5,5,1,12,16221,1,0,0
20284,M,Black,1982-02-01,Police Officer,No,1948,0.0000,0,90.6981,1,18,1,0,11820,1,1,16
20286,M,Black,1994-10-03,Police Officer,Yes,1961,61.9992,9,79.9133,0,17,3,6,18510,3,0,7
20289,M,Black,1986-12-22,Police Officer,No,1964,74.8804,11,88.3297,3,40,3,4,6824,3,0,22
20292,M,White,1973-10-22,Police Officer,No,1951,83.9995,0,95.0608,0,14,1,1,,1,0,11
20293,M,White,1972-10-23,Police Officer,No,1946,64.0957,0,0.0000,0,7,0,0,,0,0,4
20294,M,Black,2002-02-25,Police Officer as Detective,Yes,1968,96.3275,49,85.9328,12,31,1,4,20771,0,0,6
20296,M,White,1997-07-07,Sergeant of Police,Yes,1971,53.0197,15,0.0000,1,8,0,5,1082,0,0,4
20297,F,White,1998-12-14,Police Officer,Yes,1966,35.6089,1,0.0000,0,3,0,1,12013,0,0,2
20300,M,White,2005-01-03,Police Officer,Yes,1979,89.0024,72,94.5834,19,18,2,4,11129,3,0,6
